path,classification,reason_and_boundary,follow_up,baseline_sha256
.gitignore,keep,현재 패키지·재현 환경·Git 제외 기반 보존; 불필요한 변경 없음,#79,dd81fecb1b2233c832aff57da604bb4126ef302ee5aa63341f33118981b9952c
README.md,compat,현재 실행 안내와 M1 demo 혼합; 새 lifecycle 소개와 역사 재현 안내를 후속 분리,"#81, #83",41fa31557e3c5a353c87024ebcd97267eac5b3cefd7ee393b366c1f6752e0e7e
docs/adr/0001-codex-desktop-integration.md,historical-only,Codex managed 실행 통합 결정 이력; 새 제품 필수조건으로 승계하지 않음,#83,1a252aee9dc40126d413a28ae5d89af756264c3fe35a76dda5d16e1bf1dd9208
docs/adr/0002-control-validation-evidence-model.md,compat,Control check의 구 스키마와 공용 result/basis/scope 분리 원칙을 구별,"#80, #82, #83",93195dab2b322fefdce043eeaa3786069848671e60ff3de2f997bb7d7f0f5e07
docs/adr/0003-guarantee-matrix-representation.md,compat,구 Guarantee Matrix/Report 의미 보존; 새 Claim 계약 별도 작성,"#80, #82",d25ce343693494f27c10fc3c5369a5893027826eeca85788464134b8a09422b2
docs/adr/0004-event-evidence-store.md,keep,Event/Evidence 원본·파생 Projection·보존 원칙 재사용; 당시 환경 사실은 역사,#80,88b7a4fcee84992333b3945c4bc2fe763ad88dd4045ef0767f4919e7a2f9806a
docs/adr/0005-superpowers-vendoring-boundary.md,compat,upstream pin/license/호출 경계 재사용; 옛 도입 목록 자동 승계 금지,#81,4b2643d2d5857bc153747c104f60cb97ea2a03ee134b21b9b67b04f0410c7495
docs/adr/0006-assurance-dashboard-sequencing.md,compat,Impact/Test Design/Regression 책임 재사용; 옛 단계·UI 계획은 역사,"#80, #82",0b79cd914b76aac878ec30a24648949343896d3e047020f56e05adf40911ca42
docs/adr/0007-brand-dashboard-design-foundation.md,historical-only,당시 색상 결정·UI gate 기록; 현행 Dashboard 승인으로 승계하지 않음,#7,e51fee23441c824020017da2b90df18cf0cffe0c331260167982c65227e24814
docs/adr/0008-python-core-runtime.md,keep,현재 stdlib Python/SQLite 기반 선택 보존; 현행 환경 성능의 재검증 주장 아님,#79,e80b2e769eaafae1556fd89a5c6e23477d3c0fa0279db4feeed2a20243808c45
docs/adr/0009-task-harness-manifest.md,compat,기존 Harness Manifest 소비·데이터 의미 보존; 새 Spec으로 이름만 변경 금지,"#80, #83",f249e80658d9a82e4da913bab6d2beb2cf32f6157acf507de42d45dce047bc1f
docs/adr/0010-skill-mcp-plugin-architecture.md,compat,계층 분리 재사용; 25 tools/4 skills/zero-mutation은 M4.5 계약 범위,"#80, #81",6b8d5b243a280ea8024efa54082e874f03f47dbfe6463772171f556d5c6d082d
docs/adr/README.md,historical-only,기존 ADR 인덱스 보존; 이 책임표가 새 경계 추적을 제공,#79,c256b3c1d03a28fa3ad511ad414f4cad5758dd94224ab5e03efa39dd0a6591b7
docs/design/m0-07/README.md,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,aa778b4b0cd0f84d86e8426416c8cc8c269f2bdc4e8084d2c8a9821d68088a22
docs/design/m0-07/design-evaluation.md,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,0b4ab64b302532d0b01e894a38913c9db1022bbfea0c5949375e76973ef1eed9
docs/design/m0-07/index.html,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,3b2318ee267811e58bc36294166d7f4773552269cc92c2d564a3beb4ea071800
docs/design/m0-07/probe-results.md,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,4a8e636d0b5e3e27d3b18bd3884f9ad076619731f85d13c0d7ca8807c6edcfc5
docs/design/m0-07/probes/m0-07-browser-probe.mjs,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,9384e6a2f0e914ed9d19d788d096618fae586ae7d44468775aec38287f595f5d
docs/design/m0-07/probes/m0-07-design-probe.mjs,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,e58a88eb61b94b427de3f9cf1f09ff1ff4f20b20bb7e3f1825da26b78e65ecdd
docs/design/m0-07/research.md,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,6df64bea642490510a1ebf3b6fbee2d8012741caf0888fcb17c4da8ad56ae095
docs/design/m0-07/screenshots/ledger-dark-evidence.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,e815f1dc3c922ec11eb3c5f658fdc3c2be0ff828ebd1f60a187f5fb5f38d1d13
docs/design/m0-07/screenshots/ledger-dark-harness.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,b759d0655084d71816c8b101855423ac4a8df0d881ed5d9b1484b6f448b43b08
docs/design/m0-07/screenshots/ledger-dark-task.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,7b656e0a807838dab90c0dfe219b6c78091f2ef83685f4877a689465da88be88
docs/design/m0-07/screenshots/ledger-light-evidence.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,0c665e0b0e9cf5e19cd3fd0b127d3840766ee7b3ffdc249865e8067209cd4f8e
docs/design/m0-07/screenshots/ledger-light-harness.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,f6c8d7d7aad94d5b183fbc595a5e022303ae188bc88e9f971308f78958154a4b
docs/design/m0-07/screenshots/ledger-light-task.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,27b06bc6d8845af03b679cb0da5985366362a08a70200cac073417d2b5200930
docs/design/m0-07/screenshots/signal-dark-evidence.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,c4673c5838971092d60c6d62e2b61ccfe51528208570128d68e629fa3a560f6c
docs/design/m0-07/screenshots/signal-dark-harness.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,3697dff4efa36289b430b1013b1d8029c3082fda6f09773209387649a078dbf0
docs/design/m0-07/screenshots/signal-dark-task.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,8e13730b0ea881e0c9d7aa35e098487ced8efe384fbf0cc4d0e473e395ad5d5e
docs/design/m0-07/screenshots/signal-light-evidence.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,b7e754b2690331ca30a5c738280d71ca2436aac9db6009ed52641801bd37323a
docs/design/m0-07/screenshots/signal-light-harness.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,0d65825283c5242d2ed49351601d1e956ccdb5c786ec8e6983b40ef9574ba91c
docs/design/m0-07/screenshots/signal-light-task.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,9301d013265f465d743acf90961e8f82a3f1b67fa6d25a905828546b3041bc92
docs/design/m0-07/screenshots/slate-dark-evidence.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,487f39b6e3e13213a00f000e1e460806ec225ee75a765fbbea5acf7bd1dc280c
docs/design/m0-07/screenshots/slate-dark-harness.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,a18350623dc3fba51f50b12485a619464cd634e85f300e1122955f06f578511c
docs/design/m0-07/screenshots/slate-dark-task.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,bb338db95ab40b54b87bfc8e80f6dd695969b14eabd1e6483948201fdcdbb238
docs/design/m0-07/screenshots/slate-light-evidence.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,432d3d0dfe140572f5c806afd78ff3ed6e2e2b569fb7dc9e628f6ba83d794708
docs/design/m0-07/screenshots/slate-light-harness.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,aac0382d51b7892f733adeb75224000fc861f60783be2865dc48cd63d3403c41
docs/design/m0-07/screenshots/slate-light-task.png,historical-only,M0 시각 탐색·probe·스크린샷 기록 보존; 새 Dashboard 설계·검증으로 승계 금지,#7,d297d43e108a12e807750feecafc43265afb2a504076b2b0d8cc45e602bd6722
docs/diagrams/devharness-milestone-roadmap.html,historical-only,기존 로드맵/라우터 다이어그램 원본 보존; 현행 계약은 #7/#81,"#7, #81",4631f14b94af3fc5e450adda5b37503d99f22f5cb39114067a089cdcb02dcc82
docs/diagrams/ownhands-skill-router-dark.html,historical-only,기존 로드맵/라우터 다이어그램 원본 보존; 현행 계약은 #7/#81,"#7, #81",eb4898dc08716bd4cf0cb8b4ea88e3f29f10d9e9cb83ee2d071a0c1b09ac8f57
docs/dogfooding/README.md,historical-only,과거 HWPX 평가 방향 기록; 새 Dashboard 이후 필요성 재판단,#7,5e8deb7de7030d50badd4e7b03df12a0df513b3fe7581de1f19c03cf7ba968af
docs/product/Conflict_and_Open_Decisions.md,historical-only,당시 결정·미결정 기록 보존; 새 이슈 범위로 대체,"#7, #79",64b13d8accb030fe7b20f52a21406e9b11bdbd7d9e170a979ea7f11b3d98cac8
docs/product/Context_Placement_Policy.md,compat,얇은 router/참조 원칙 재사용 검토; Context 구성 정책은 이관 책임,"#81, #83",8aa675618291e8c1187b71382c254e2bc54c55656e0380cf4d05fda60adf64a9
docs/product/Control_layer.md,compat,§9~17 Guarantee/Assurance/Event/Evidence와 실행통제 혼합; 재사용 원칙만 새 계약으로 명시,"#80, #82, #83",7c43d869603e2e514d26ed6e26528a7029061d70200a607eb6bb01ef2fca73a8
docs/product/Dashboard_layer.md,historical-only,분리 전 Dashboard UX 계획 보존; 구현 계획 자동 승계 금지,#7,64d7de7cbc96bf1d7c71e873acf6a4af36916ab583beef5e39f0585988b3acc3
docs/product/Design_Rationale.md,historical-only,분리 전 제품 설계 이유 보존; 새 책임은 #7/#79 우선,#7,feb54daab5c5641517319ccfaa32872871b06fc3ad1bc8ee16f7946f3fb57030
docs/product/Glossary.md,compat,옛 Contract/Gate/Decision 용어 사전; 새 용어는 namespace/version으로 분리,#80,d0ad39cfc5335717bb15722a8fc296cc49bb1f177900afb98395bfa844448696
docs/product/M0_ADR_Review_Packet.md,historical-only,M0 승인·검증 패킷 기록 보존,#7,715704dabb59e83309ef0db6868e15f7d2551f9a9fcb7b435f61cbf7f80384ad
docs/product/M0_Kickoff_Report.md,historical-only,M0 착수·위임 범위 기록 보존,#7,c2d0308b95827aa047aec896fb5810746cd3a6ef7f787ef59e9e89dcdceac23f
docs/product/README.md,historical-only,옛 제품 기준선 인덱스와 hash 보존; 현행 지도는 #7,#7,27abfda2df1d08b2537f01b9b497cb268b5ab9cd40e4ae6232903a0e58912972
docs/product/Requirements_Traceability.md,historical-only,이전 요구사항 추적 보존; 새 Claim 추적은 #80/#82,"#80, #82",2f9d6adbedd4b9042db6c3b48a86a56efe588fc4f295d0c4e3b5ae589464c4ed
docs/product/assurance-packet.example.json,compat,기존 Execution Contract/Assurance Packet schema·예시; #80/#82와 별도 version 경계,"#80, #82",fb0808b46fb780c7740030b6f81daec8691b977eccf02bb0fbee03172ebd9222
